title,title_link,company,"SOFTWAREARTISAN,WHAT?Experienceworkingoncross-functionalteams—Fusioniskindofabigdealhere.OurSoftwareArtisansaresuccessfulbecausetheyhave",result-link-bar,tt_set,turnstileLink,slNoUnderline,location,date,location1
Fingerprint Operator,https://www.indeed.com/rc/clk?jk=9af41ca10588d4a0&fccid=8e22eb3e08e1d6e8&vjs=3,Indrasoft,"Operate fingerprint reader/document imaging equipment to create electronic files, using provided software. Basic computer skills and knowledge of electronic...",4 months ago   -  save job - more...,-  save job - more...,Indrasoft,21 reviews,"Detroit, MI",4 months ago,
C++ Senior Software Developer,https://www.indeed.com/rc/clk?jk=57f42ac600106d32&fccid=c6628f5bcf0d6090&vjs=3,Zenuity,"We work on interesting technical challenges using cutting edge technologies in a high performance, agile organization with an innovative environment & high...",6 months ago   -  save job - more...,-  save job - more...,,,"Detroit, MI",6 months ago,
Entry-level Customer Solutions Technician,https://www.indeed.com/rc/clk?jk=68d3b3ebaad5a0ca&fccid=62374a540fe90191&vjs=3,Compuware,"We are unlike any 40-year-old software company you've ever seen; Experience with, or knowledge of, a technical topic such as programming, networking, hardware,...",30+ days ago   -  save job - more...,-  save job - more...,Compuware,169 reviews,"Detroit, MI 48226 (Downtown area)",30+ days ago,
Connectivity and User Experience,https://www.indeed.com/rc/clk?jk=28d46adafa0cfa43&fccid=fc04695e1d3b9c1a&vjs=3,INVENSITY GmbH,"Design software architectures and algorithms. Plan, define and execute software verification. Analyze risks for software development and derive relevant...",5 months ago   -  save job - more...,-  save job - more...,INVENSITY GmbH,4 reviews,"Detroit, MI",5 months ago,
"Technician, Mechanic Tractor, Tire Technician, Oil and Lube,...",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-R-_OYNpzlwpYv04RHc-H0a6VvtNsgvQQ4BQT3w_Xq5cy_5kKWE25jUOFG2Y_QneCKcSoPhG44-QkhNO2G0Gq59kV3bZqY-WL5Zg1wZdVk1QzMvufGKSq3KxrZdJc_BPdpdnhYBIdTWBHkDac7VSX3eNUTy58MigKHEOLQ6Tl9O2JTqwgj2T3WVzw4wqxsVBTYeikl4FBb71k0VB7hAKn12cH2DIDOP3GfpXYjD26Hu9xndANhxVM1gcEayovA3zT0xy7hXZFxzDt0Md8CEObj1KXKupOo4ZTPBQxzl6itOusBDevbzGq-xxqKgWbLiO4JM3uj28Gdqv4Mv13T7yMpXUJuPVv2GlfsCm9UhivqrVs2JmcQIyYWoznU3HTMQxdwA2uTFi4IdRSMYtfhrVFJKC1v5XM6GiHy4Ucf78Orzo6ZZ3iYKxKTLcs2tfN7-pq3WyOVIUnToHADubs0c80Q0rvUeDIxajtecy86SZEuvzB9VToVvHzhWAkzTfVVgg=&vjs=3&p=1&fvj=1,Churchill Transportation,"General knowledge of diagnostic software and fleet maintenance programs, record keeping, entering repairs and accounting for inventory used or the ability to...",Sponsored - save job,save job,Churchill Transportation,11 reviews,,,"Detroit, MI 48216 (Millenium Village area)"
Commissioning Technician,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Am65k3PR_aLy_XPS-hQ4MYkwOFST-i18A83Q44TJn_XmCulTV8EWRiYeFawHR5jOtkySqhX0WRyXctRujsAF3gn3yNCO3_-snsWpjguLq2lCdgGffXlyPRr74m8b0_cpi-7mggfeozVVmtPeGYk7KKeUpaE5ybXUJT8lbanz3WpZNBC18CPBECRqiLQvHWldHByz4XszTena07ZOkVm0kAWAY8ldOjTEHqrY60tOFIKqV-X3qPP8dpz5Hk-2XuLZ1X4pHbdvFKNiM9VTQDySWYRxV0r_yZeBhhCm1g3i9Vl0gzJgjvfYpa_6fQugF8blwHJPppUY5CrGLMQcWWfxTsBCdOMgUFf01aDvXzDQIQuFxLMZB4l89ILhkf6TFbbhhr43LUjkV8woYhgUbMA-ypuAyXYW1HetsAnC9PiKUeufwU45NwKcZ9&vjs=3&p=2&fvj=1,Reliance One,"Conduct software system tests for functionality, diagnostics, and machine recovery procedures. Commissioning Technician *Responsibilities ....",Sponsored - 3 days ago   -  save job,-  save job,Reliance One,68 reviews,,3 days ago,"Sterling Heights, MI"
Data Entry Clerk,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_MxdPTDBI8Bj9CuWfJueBlkjmUpGK-1GRso37tIBH2EaWTTeyJlsVXIri7AsYxcsuvAS-xpjw_6GPJFeRb1gVjiAZ8YzVqtTnjeq3AX0OZ2mWkF22d41Iyc-ATNgrO2B0aAy7uG4EhY__4JlGJn-SzrU-GeIyA_GFzKWP_3h_1_hVeaOsFlQfs2gmm8taGWrnnvHKDhNXuPbnFckGZFaZs-A_oNi31h94k1K0qPZFxlsN7KN4x3wfC_WEMD4ZrTQWZ5FBRZg_ujT9GDUYJBdQDY1XYZUtLVqPuPPW-6Hg9Hq5mjuDaiWZVnoVQpd_F6rF978Q5qyibI4E6nm44E6rKT0sRcTvdxMyBVKEXhlYw5Rgma_CtvfttIwsnKJO_ijyEdnv0iM3GQqaSwd806qtQjmRS8jr1n6eEo-ccJHz-rm7518sPUkHJ499nM1hN6uzhQ==&vjs=3&p=3&fvj=0,OfficeTeam,"Ideal candidate must have adept computer skills including word processing, spreadsheets and presentation software, as well as databases and customer database...",Sponsored by Robert Half - save job,save job,OfficeTeam,793 reviews,,,"Southfield, MI 48033"
Research Assistant,https://www.indeed.com/rc/clk?jk=13a625457df3f8ab&fccid=fc5796d278dc2460&vjs=3,Wayne State University,"Preferred Qualifications Knowledge of SPSS or R, FreeSurfer and REDCap database software, and experience with neuropsychological testing and older research...",20 days ago   -  save job - more...,-  save job - more...,Wayne State University,738 reviews,"Detroit, MI",20 days ago,
Full Stack Developer,https://www.indeed.com/rc/clk?jk=341095029c13d412&fccid=2d7c4fa213033676&vjs=3,360insights,We have been confronted with the amazing challenge of building a platform that can scale with our impressive growth and constant need for innovation....,30+ days ago   -  save job - more...,-  save job - more...,,,"Farmington Hills, MI",30+ days ago,
Information Technology Program Coordinator,https://www.indeed.com/rc/clk?jk=0a3b1606fa147d5b&fccid=c03f7548b7ebe34d&vjs=3,PF Michigan Group,"Microsoft Project software experience preferred. Knowledge of project management tools, software, and methodologies....",6 days ago   -  save job - more...,-  save job - more...,PF Michigan Group,"3,145 reviews","Livonia, MI 48152",6 days ago,
Chassis Embedded Software Engineer,https://www.indeed.com/rc/clk?jk=26de64df4f378830&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,Integrate Chassis feature software into base Chassis software. Execute software development builds. 2+ years of experience of using software build tools....,30+ days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",30+ days ago,
CES - Basic Software Engineer (BSW - Low Level Programming),https://www.indeed.com/rc/clk?jk=21f8635276d39678&fccid=12aa2da60fa1c62f&vjs=3,Continental,Experience with embedded software architecture. Continental Engineering Services (CES) is seeking an experienced Software Engineer to perform basic software and...,30+ days ago   -  save job - more...,-  save job - more...,Continental,"2,193 reviews","Auburn Hills, MI 48326",30+ days ago,
Senior Full Stack Developer,https://www.indeed.com/company/TTI-GLOBAL/jobs/Senior-Full-Stack-Developer-bdae34fb0da4ee86?fccid=3dec202329397bbe&vjs=3,TTI GLOBAL,2+ Years Software Development in Angular and C#. At least 1 year of Software Development Experience in Angular 2.0+ (not Angular JS) as well as one of the...,21 days ago   -  save job - more...,-  save job - more...,,,"Southfield, MI",21 days ago,
Emerging Analytics Software Engineer,https://www.indeed.com/rc/clk?jk=e97f995f395d8590&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,This is a software engineer position for Emerging Analytics IT team. Integrate Machine Learning algorithms and create working software products....,30+ days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",30+ days ago,
Embedded Software Functional Safety Review Engineer,https://www.indeed.com/rc/clk?jk=1877d0efe8433cac&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,Align software deliverables with vehicle program timing and electrical engineering processes to enhance software quality launches and conduct embedded software...,30+ days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",30+ days ago,
Digital Engagement Fulfillment Administrator,https://www.indeed.com/company/Percepta/jobs/Digital-Engagement-Fulfillment-Administrator-20652bd8790ad159?fccid=8221c26866b793d2&vjs=3,Percepta,Load pre-determined software update on a formatted USB drives. The individual will then mail the requested software to the customer....,5 hours ago   -  save job - more...,-  save job - more...,,,"Dearborn, MI 48124",5 hours ago,
"Temporary Employee, Technology Assistant",https://www.indeed.com/rc/clk?jk=515cdca7ec9be039&fccid=fc5796d278dc2460&vjs=3,Wayne State University,"Preferred Qualifications - Usability testing, software and technology experience. Develops partnerships with students, staff, faculty, and the community to...",30+ days ago   -  save job - more...,-  save job - more...,Wayne State University,738 reviews,"Detroit, MI",30+ days ago,
Desktop Support Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdMgfLsFZvjhS3uFondwH0u0lcrunl7zFjhafw0rjGwrHQZoB-H91Usr3YmBLrCR4QoNaadJPDt0wiAbHwXC_f-3E0Rmpp-CrI1Xa3WN--NNpjFK228rkQGdxcDEUcF3UAHmL84eosOpVxFEENOSlRxAxnW5FxfTjh1OsjfsZNGa2bLx8HrAOwFXu8zBmaTwsGzrvkBUz6JydEqcL6Aj1ASUUoKrMHNUbAALv_gJ1EXJUMqEb44Zm67FFdW_gNSw-zYyYreP62dVULDS2762GJjLsBuZaFwJwkBRpHMPGf6wbzWv40nahyQZpZKlQMo9wgS5w-cGLXgnDznVjTfrSy_J2dlLLmOnJqRrlTVUr7YQ3EU44HeRTuz0uT9UZdCzWoA2eFF72xjcIUbLe-0VW-_5Sr-93sl4xYwOT_MvatcUBahA9D71TC&vjs=3&p=1&fvj=1,"Perry Johnson & Associates, Inc.","The Desktop Support Engineer position requires an energetic, results oriented software professional. Perform software installs, minor hardware repairs...",Sponsored - save job,save job,,,,,"Troy, MI"
Workplace Experience Supervisor,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIfMLMH5eMFB6047IPcht0g7S-IdG15S1-7iIlPnvpa3c-WY5I9C5apvA6BG7aup7IeW-zizYYG_k1T6aMjwgN8zr8Pwm42RxIFTZJND4WeE5nsDkNANlsLrn_AiEXBEgTxphFeDLHiCSxHm9TP4cS9eQ1RqxKP-LGQmbSqs5ssKKfzdkfLrwN7hEBiA4fc7lupN9Qny0tLg7r8iWnaVmYzYvIqZUs929RJY1X8ZP03taUBYIo8sbVkR8RGiftDTESYHiI3fd7ilTBHkFv9VaN7j9yDxGe75IUz1afGDwyF1CEXS0Zs76yl6fKH0dSfVlo8IXcxqEjIDFiWNCH26UvwdySKJfyAJMTKGhOiSFoBNz8XafM53xTYa7ZXk2D_rI=&vjs=3&p=2&fvj=0,CBRE,"Assists with Workplace Experience team member and third party service provider on-boarding process, including new employee orientation, training, equipment and...",Sponsored - save job,save job,CBRE,"2,464 reviews",,,"Detroit, MI 48201 (Midtown area)"
Operations Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLjQmfy67UqlWxJvyH5uxFrQGBFL1cdeZdgq-fUlKTlgBT6n3xXAQpEKm3KutwUBFCv4fQPvAvUXS-pU5M4kxutKYB2SX0_y94Yvo7oK6Gn8f4QmevTYBDBtnJUaTFNFQj-UylUqFuP57bR_EvOmFE9VO-JSU9pJbcXgb70ehZFCfBhO4LESytXthUGzCNLtC2kkq1-pp_EM2MM1r0CWILybGLgljg69drYEZ19luKNPKiJiipuyhY6vlOiPgZU8wCwzWwDfTacpEIIWqAH8sRb8gxTrhVu5mSz7dK9AJQW3WYC_4cs7lqMS0xxI1DP6MoBPQ70trxhGZHtIEoL7Op_o46cOBVt6mpwtMpJrdbcSCID3StuM5uiBwvFjgbGyFuVYvnbmVbg_HH7OWbGZsVOTc74xtMsbA39bMOZdyRdk2FCuNog5P9QgUWST2Z8oIp6lYqaSeeLHnwS_CoAmifjRUAbJv-p4Y=&vjs=3&p=3&fvj=0,ektello,"1-3 years of experience in software architecture, database systems, or related field. Drive and passion for problem solving....",Sponsored - save job,save job,ektello,6 reviews,,,"Detroit, MI 48243 (Downtown area)"
Linux Systems Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1gKYbjhnuLsLCCsuy6Da6jM-qXt-1-sWstwvcDeqOdAD3Q_WTd4yvO7rzfewrRM-WTix1OPahXQEuAX3n6xlzHKZcgCQ0FgTWIgSFQo0whlsuyhIqeu8cJzlN3Y365Oj9ztp5TYu23A7kp-5JdfjKGsKCvmAEySF-q3u8VPXR-6j_KqJRXi0R7cKgjNlZ7Es9AiKPXsTWpAay0-47ap-zPbovqYDZDxsXnTTnSk4I4YOlFinAcJQOmHMeJ0HxSAZ6HE_BTvCbZ10kfuUW56lkA3XJfQ2ODopPlrOhYMIQtcjwWEaniXvkJHoe9sTaapv-xZ6LuxGm5uqD0OCzSiWAmj1vuhhAlcfBPiX0hq3HPjFGspxx8grcIQH-LvDWE1MzFdreN1NK30Eg7Jfb3N1-u7Td01JD4HTkDD4yfNYqSTur5CU-AjnjGHrJr0jksSRvsM0aez-r1LHD2DYLowe0Jw5c0GRoYfCdRntHa3oRYHz-dLqa3nf3g6CQKXWIrFiWuSbLKVJnEsy8-uI6ZbS51QT_CCwIzz8p3lv_As9abYGz5fOUWARFGNxFyAB65YI94_Xj5_hZ6YNbjzJtUyPC1AEil_7LvplPVfyq5wTWyw==&vjs=3&p=4&fvj=0,Quicken Loans,"Install, support and configure software applications. We believe in and build inclusive workplaces, where every voice is heard and diverse perspectives are...",Sponsored - save job,save job,Quicken Loans,"1,127 reviews",,,"Detroit, MI"
Warehouse Worker (PT),https://www.indeed.com/rc/clk?jk=b740128862bb28e5&fccid=80b7f6e870dc716f&vjs=3,Oberweis Dairy,Data entry with Excel spreadsheets and AS400 software. Warehouse Worker (PT)....,30+ days ago   -  save job - more...,-  save job - more...,Oberweis Dairy,112 reviews,"Plymouth, MI 48170",30+ days ago,
Full Stack Developer (732i),https://www.indeed.com/company/USDI/jobs/Full-Stack-Developer-d517742f578dcbc3?fccid=f276f10f883d1157&vjs=3,USDI,The Full Stack Developer will be a member of the Advanced Solutions Development Team responsible for a diverse range of initiatives using cutting edge...,24 days ago   -  save job - more...,-  save job - more...,USDI,2 reviews,"Farmington Hills, MI",24 days ago,
Connected Vehicle -Vehicle Management Full Stack Engineer,https://www.indeed.com/rc/clk?jk=5c6d770cb64dbe45&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,"Strong Java development skills, including Java, HTML, XML, JUNITS. Software Development in a variety of programming languages and technologies....",30+ days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Taylor, MI",30+ days ago,
eLearning Content Developer,https://www.indeed.com/rc/clk?jk=dba1ec9e0b616c43&fccid=a8095d38137a0be6&vjs=3,OneStream Software,"OneStream Software Experience 6 months + using OneStream Software. Benefits at OneStream Software. Rochester, MI OneStream Software LLC....",21 days ago   -  save job - more...,-  save job - more...,,,"Rochester, MI 48307",21 days ago,
Embedded Software Engineer,https://www.indeed.com/company/Digital-Dhara-LLC/jobs/Embedded-Software-Engineer-4ff9cde3d8bb4d57?fccid=c77b76135d73a183&vjs=3,Digital Dhara LLC,"Sr Software Engineer*. Good understanding of Automotive Embedded Software concepts. 6-10 years of experience in C, C++ in QNX platform in automotive domain....",14 days ago   -  save job - more...,-  save job - more...,,,"Novi, MI",14 days ago,
SR. FULL STACK SOFTWARE ENGINEER,https://www.indeed.com/rc/clk?jk=180060559918abea&fccid=5f8dae8525139f4a&vjs=3,KORTX,Experience building scalable Java microservices in production. FULL STACK SOFTWARE ENGINEER. Someone who wants to be involved in the decision process of what we...,4 months ago   -  save job - more...,-  save job - more...,,,"Royal Oak, MI",4 months ago,
Programmer,https://www.indeed.com/rc/clk?jk=476712d91cf78ced&fccid=4c2b7ddb804f88c2&vjs=3,Brose,"Please send us your application using our online form. As a successful family-owned company on a path to global growth, the Brose Group offers challenging...",6 months ago   -  save job - more...,-  save job - more...,Brose,446 reviews,"New Boston, MI 48164",6 months ago,
Developer New Applications & Production Support,https://www.indeed.com/rc/clk?jk=8be8286e741d95b4&fccid=48fd423475a811ad&vjs=3,Urban Science,"Urban Science is a business performance optimization company specializing in data analytics, proprietary software and consulting solutions, supporting the needs...",5 months ago   -  save job - more...,-  save job - more...,Urban Science,28 reviews,"Detroit, MI",5 months ago,
Career Center Representative,https://www.indeed.com/company/Downriver-Community-Conference/jobs/Career-Center-Representative-6197ce34ca9d2098?fccid=b06c92f2bfca846c&vjs=3,Downriver Community Conference,"Assists customers with operating available computerized software, tutorials, and assessment tools in the Resource Room....",13 days ago   -  save job - more...,-  save job - more...,,,"Detroit, MI",13 days ago,
IT Education Analyst,https://www.indeed.com/rc/clk?jk=b2ac1a771bbaa60f&fccid=f8cf4605deb0ecbd&vjs=3,Beaumont Health,Prior experience with Epic EMR software a plus. Ability to learn new software quickly and use the latest technology required....,30+ days ago   -  save job - more...,-  save job - more...,Beaumont Health,"1,239 reviews","Troy, MI",30+ days ago,
The Customer Engagement - Design Support Representative,https://www.indeed.com/company/SpotOn/jobs/Customer-Engagement-4c502d84c4fec467?fccid=f1371fe9bc4b71d8&vjs=3,SpotOn,"SpotOn is a fast-growing Digital Marketing, Loyalty, Reviews and Integrated Payments platform that helps local businesses build valuable relationships with...",3 days ago   -  save job - more...,-  save job - more...,SpotOn,30 reviews,"Southfield, MI",3 days ago,
Software Architect - V2X,https://www.indeed.com/rc/clk?jk=0a93a53b4b793562&fccid=a2faf1301ac6ad4b&vjs=3,Bosch Group,Define/ change/ extend the platform software architecture with platform team for project. Development of a suitable project-specific software architecture in...,30+ days ago   -  save job - more...,-  save job - more...,Bosch Group,"3,898 reviews","Plymouth, MI 48170",30+ days ago,
Vehicle Interior - Software Test Engineer,https://www.indeed.com/rc/clk?jk=dc4cd37c1d6530f2&fccid=12aa2da60fa1c62f&vjs=3,Continental,Basic understanding of embedded software. Responsible for the development and testing of software products delivered by CES....,18 days ago   -  save job - more...,-  save job - more...,Continental,"2,193 reviews","Auburn Hills, MI 48326",18 days ago,
Computer Consultant GAM (TEMP),https://www.indeed.com/rc/clk?jk=86ab1d6982404254&fccid=46c847dc877cedc2&vjs=3,University of Michigan,"Assisting students and faculty with using GIS software (e.g., ArcGIS), printing, scanning and large format plotting....",30+ days ago   -  save job - more...,-  save job - more...,University of Michigan,"1,452 reviews","Dearborn, MI 48128",30+ days ago,
Intern - Quality Measurement Research (Programmer),https://www.indeed.com/rc/clk?jk=a6648fe1011d5bca&fccid=d73294b71d7f0354&vjs=3,Ipsos North America,"Share our passion. That’s what makes us proud to be Ipsos. We hire for the best fit for the company overall and in this role, it is an individual who displays...",13 days ago   -  save job - more...,-  save job - more...,Ipsos North America,392 reviews,"Bloomfield Hills, MI",13 days ago,
Corporate Recruiter and Employer Branding Specialist,https://www.indeed.com/rc/clk?jk=a7b9961f97840172&fccid=62374a540fe90191&vjs=3,Compuware,"Compuware is unlike any 40-year-old software company you've ever seen; What You Have:. We are nimble, fast and obsessed with excellence and continuous...",12 days ago   -  save job - more...,-  save job - more...,Compuware,169 reviews,"Detroit, MI 48226 (Downtown area)",12 days ago,
Sr Software Engineer,https://www.indeed.com/rc/clk?jk=4f4f95ffeab5f3e2&fccid=c5c99ec01e2125aa&vjs=3,General Electric,"By combining world-class engineering with software and analytics, GE helps the world work more efficiently, reliably, and safely....",GE Careers - 30+ days ago   -  save job - more...,-  save job - more...,General Electric,"6,629 reviews","Van Buren, MI",30+ days ago,
WKQI/Channel 95.5 Night Host,https://www.indeed.com/rc/clk?jk=402e51d21c409620&fccid=5b2f9eaa91cb3370&vjs=3,"iHeartMedia, Inc.",Finalizes content using digital audio editing software. Makes regular approved appearances at paid and non-paid station events;...,30+ days ago   -  save job - more...,-  save job - more...,"iHeartMedia, Inc.","1,149 reviews","Farmington Hills, MI",30+ days ago,
DAT Software Verification and Validation Engineer,https://www.indeed.com/rc/clk?jk=f5c1ad81543471bf&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,Support issue resolution of software related issues. Lead and conduct the verification and validation of ADAS related software....,30+ days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",30+ days ago,
.NET Developer,https://www.indeed.com/rc/clk?jk=1f503d40a48e41e3&fccid=a0e2120faa043e56&vjs=3,Blue Chip Talent,"Write and test communication software. Write software to integrate different interfaces, and accommodate various applications, users and third-party systems....",30+ days ago   -  save job - more...,-  save job - more...,Blue Chip Talent,4 reviews,"Detroit, MI",30+ days ago,
Build manager,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DNT968euvG39cRRErXHoDncKAK7q4SjvB7zRxf157mCj4CHkzoCmznXbZQBnWYAHkAru6p_PFxkMuFKHI0nsOX1AsyI-ZopxPbec9DagE6wavVe8yCjO3qy7Kp8x8Vs0ghtaOxhUDsxvIZjwhMpjN3fjRWX-tiNth645e6CjV59DE9dklWY8RvHC3BmESclSBn3Z2YTGV0CglThcecBFp8B3t8d2rDTPIyKH1ylltbdtts_23U0bWGZX4y0AS2anp3yGDUSQn4pG-Ujs4A6DvSr9jnWtqatZJ1uU2Ejxl_hjFxSXclqjzfKOAZhlNGR6haV1VRsaeAavgGILu__TCgSrfi0etw2yXqhmON9kbm93Glqinm5emcSbmlNQ144n94ZGX9LKl7tI-RhABNjg4ieDghOyX7U4hi5-uhbfWvafgd5CDoWeRv1Zw2LBfGsXjqsiIUgVB2Fo_Evh4C70vxHwu6kG2E4Xwds8qSC2sZ4ZYizkDjPd1Hf58YvVma0vvRK7lS7fqoXWl5ewEOOgbhIFz_jbm6uYt038t4A7gLr7C3ne2zwHsfULi_r_raQvI16lgxesx9bMs5sotLJNqIwt4igDVXVnU=&vjs=3&p=1&fvj=0,L&T Technology Services Ltd.,"Find out a tool and process to manage the software configuration. Jira, GIT, Genskin, SVN, and very good communication....",Sponsored - save job,save job,L&T Technology Services Ltd.,"3,620 reviews",,,"Troy, MI"
Accounting Clerk,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApEzREe5_QXhajl0CxVXj3KKSWZcWV_AtPG1YYtINkp4v5MTIAhiSuWRshl7MtjLJb5Vp1uuf-d8CImkJOknP3Ni-0gbhLBuU6yoD6xvvB1VyOYCtBTL5Fpf8JSnXKH2BK5O_NSA-3QhOt0QH92nTCthi4VqHzw9m2VBMzbO2GQ5VoKqyE7k9LcQ5WyWN08X0SZ7vZ7anlcXDtdCdemtd0P6GpBGX-0xeWJZdSqc0xqDWXlbZZf31ajUbioFr9N_Ve5dWLVn4nVWdC1Adahl1Bg1_71O6n17Pf3gdTxb2fg6rX1g2LU3oUfmqdokxxF6MKbCAD3Hq57LY4pVjjgxi-Wq9yvEahMwjV8_SEkartPVh6zQ-x58ZPRUcwgWmBkTYJ5n0KUu-ACVwGQlxw4juP0UiuodQ2kkEADvGKnnJR0kWTn8adA8G_&vjs=3&p=2&fvj=1,Church of Christ Care Center,"Proficient in use of computer software – Microsoft Word, Microsoft Outlook and Microsoft Excel. Assist Business Office Personnel in maintaining accurate...",Sponsored - save job,save job,Church of Christ Care Center,16 reviews,,,"Clinton Township, MI"
Business Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D75nFNdH69ITA1_Y-gM0-QGQjn63-X3sKMiDS4xD0yUbf1PfKuEGdeqxFda2EdDEYBpAINPDZylWYfuvZ7vtl08XCqfFaUdIRJ7dnhsiG9dtuUnPW3QJRX7yV8BZGpBu44W-0LSJI9fLfeB2T_dV25Rll0gbFLGZMNa6RPxsM1Ul3mKsChWSI31hdQBeAmZfjtveHrpEoG7bOw0XoTZSAviLCrXOxEQVjY9A0JRl6sWmso5bS2gm5N9Bgfa1XLduY8ySLfZ5OV9KQFWQeZh1ImGdu4LiFOAAt0gF_of5ezetD-tf8DsenA3FO0YqwgL00fD7uefkwKBIqPgHk04ecC3o_creGhblke86YdIXVkusYxA_ClZuwFJ48adxh6NohHXfeGUkaujbXwucEWhwvsb7gsYpsOJ_Q2zkDy4eaM_O80RQHTJCfV&vjs=3&p=3&fvj=1,Lakeshore IT Group,You’d also coordinate across all technical resources throughout the software development project. At least three years’ experience in large scale system...,Sponsored - save job,save job,,,,,"Belleville, MI"
Real Estate Agent/Broker- Ferndale,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCrTZ7ytVUbBPEsXj0xeQNa7QLuu33IOYZAeMCtZwbZA7tGZ31rI3NWetgm0pIfRUpKQX0U-fJ7OdTnWEQhLw_rxxDPmPAaDXWEewkYZwihB0RAOMGmJY10ylPzIu-oXpFrWE5IDrCfd1TUINfmGfzN6d4vBVB38jwOXczn9OEjsWSdUDUe1seV4J9n8FknD7syR2TXxpavglCm14QHYFjBICmMassPD1gDivklw-Q5v0uPrQotU0KL-TSGQWSiItxdDtxSZpvk_XUWg9FKThY38NuuD0o6BKDmAURJzx9kqJoo6-KnqgxQoUSHf_35W_qWaeXm4tZz3xNA_WlBleFSXLlCOB-zRXXt2aeYLn3Pq0qd_dNt7n_vh-AVtgQeadXaF0vh3kXlKy1dqGCv65HmRG9rODNMfdlkVAwWyc3y4FmPFKc_IlvRzHaTLPBZp-4Z7ixsxa2OkKw-HO8ayZD&vjs=3&p=4&fvj=1,REALTEAM Real Estate,State of the art client relationship management software (CRM). Costs paid for by brokerage include:. Build your business through outbound lead generation...,Sponsored - save job,save job,,,,,"Ferndale, MI"
Internal Auditor,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTM4jk71uHQ2f0KJwD8jeVt_DuNe8egDFehSo6I1_eoHk1P0O4c5UvuIZDqJzeAc3goAEXSjH5iZ4v0mn7jSL00obRyJplbbJzRLM6KF8BrRijyKMNXxRD-Hmj6D9p_TsETWqJ2a2vBEigbp0367IKCdTC8sqyK8bl0td1nTGjOfdrIqoYCZ93wSoI0sWjkK2CoZ7NGPu_3sGPPi7f2AaRmeX-JaPIJAZWtd9PpiUriZFYtVbtOUayHFRXmgfjtCsZEa0q7R0nNVb8BhTK_3vks_DVmy93OMMn1b9nIPIfbqUrlkYKxUk9zh5qEHJnsUnws0jfW7hClgJzsZDPnPn1W7aEMOTUMYtXIResVgNDLVvzZxzjvVqkz3yftRdUv2LhfkDhvBbMHRmA-eDXnb7xIy3z_DsZewwFRO49-POQXg==&vjs=3&p=1&fvj=1,UHY LLP,Experience with data analysis software (e.g. Passion for understanding processes and risks. Assist in maintaining a partnership with internal customers...,Sponsored - save job,save job,UHY LLP,31 reviews,,,"Southfield, MI"
