title,title_link,location,summary,date,company,slNoUnderline,salary
Software Developer,https://www.indeed.com/rc/clk?jk=5aa93ba0bb2502d6&fccid=1639254ea84748b5&vjs=3,"Redmond, WA",Managing external software resources. 5+ years experience working in a cross-functional software development environment that includes hardware and software...,5 months ago,Facebook,433 reviews,"$71,000 - $106,000 a year (Indeed est.)"
Junior Software Engineer,https://www.indeed.com/company/Keywords-Studios/jobs/Junior-Software-Engineer-f5e64616789410c5?fccid=c26d104f25f1364f&vjs=3,"Redmond, WA",The ideal candidate must be able to participate in the development of software programs and applications....,26 days ago,Keywords Studios,21 reviews,
Software Design Engineer,https://www.indeed.com/rc/clk?jk=160655887b38c0d3&fccid=734cb5a01ee60f80&vjs=3,"Bellevue, WA 98004 (Downtown area)",The Microsoft Maps & Geospatial team is the center of excellence for understanding and using location and geospatial knowledge for 1st and 3rd party scenarios...,30+ days ago,Microsoft,"5,563 reviews","$71,000 - $106,000 a year (Indeed est.)"
Quantum Control Software Development Engineer,https://www.indeed.com/rc/clk?jk=90d2de21952e8340&fccid=734cb5a01ee60f80&vjs=3,"Redmond, WA",Experience with developing low-level C++ software. This role involves software architecture/design responsibilities with expectation to be hands-on in bare...,30+ days ago,Microsoft,"5,563 reviews","$87,000 - $128,000 a year (Indeed est.)"
Software Engineer,https://www.indeed.com/rc/clk?jk=beacbc5f5b28346e&fccid=d893077b701cc0dc&vjs=3,"Seattle, WA 98104 (First Hill area)",You have 8+ years experience in software development. Are you excited to support over a million users a week and give them an amazing experience to come back to...,3 days ago,PayScale,15 reviews,"$91,000 - $136,000 a year (Indeed est.)"
Software Developer - Apple,https://www.indeed.com/rc/clk?jk=0d6b370c70aac469&fccid=6824fc1f087bd63e&vjs=3,"Seattle, WA",You have 3+ years of industry experience in iOS software development. Hulu’s Apple Playback team is seeking a Software Developer who will be an exceptional...,5 months ago,Hulu,75 reviews,"$84,000 - $126,000 a year (Indeed est.)"
Software Engineer - Recent/Upcoming Graduates,https://www.indeed.com/rc/clk?jk=b4c4447b1d19b564&fccid=dd616958bd9ddc12&vjs=3,"Bothell, WA 98021",And academic exposure to software. Systems Engineering or similar software development. As a recent/upcoming graduate who studied software....,9 days ago,,,"$81,000 - $121,000 a year (Indeed est.)"
Software Engineering Intern - Summer 2019,https://www.indeed.com/rc/clk?jk=ed5a18accd264476&fccid=10db9f943841d5db&vjs=3,"Seattle, WA","What to expect as a Software Engineer Intern. As a software engineer intern at Qualtrics, you should love building simple solutions to solve hard customer...",30+ days ago,Qualtrics,20 reviews,
Software Engineer,https://www.indeed.com/company/JAMY-INTERACTIVE/jobs/Software-Engineer-f10bfc881a67bf77?fccid=6704a8f359d498be&vjs=3,"Seattle, WA",Commitment to sound software engineering and testing principles. Strong experience with Jenkins and other software build tools....,3 days ago,,,"$90,000 - $135,000 a year (Indeed est.)"
SOFTWARE ENGINEER II - Narrative,https://www.indeed.com/rc/clk?jk=af8b84aa907bc58c&fccid=734cb5a01ee60f80&vjs=3,"Redmond, WA","343 Industries, the developer of the Halo series of video games, is looking for a Software Engineer to join our Narrative team, to work on the next generation...",11 days ago,Microsoft,"5,563 reviews","$86,000 - $115,000 a year (Indeed est.)"
Software Engineer I,https://www.indeed.com/rc/clk?jk=eef192881dbccd2e&fccid=cf4c744760f4998e&vjs=3,"Seattle, WA 98101 (Downtown area)",We create software solutions that are used by the majority of the Automotive Dealers in Canada and around the world....,3 days ago,CDK Global,372 reviews,"$92,000 - $138,000 a year (Indeed est.)"
"Jr. Java/C, C++ programmer",https://www.indeed.com/company/People-Tech-Group/jobs/Junior-Java-C-ad49cd43890225ed?fccid=6183bad18ec78af9&vjs=3,"Bellevue, WA","*Job Summary Jr. Programmer analyst:  We are looking for US Citizens Junior position. Location: Bellevue, WA  Knowledge on SDLC. * Knowledge on...",5 days ago,People Tech Group,63 reviews,"$53,000 - $76,000 a year (Indeed est.)"
Software Developer,https://www.indeed.com/company/NLB-Corp/jobs/Software-Developer-823607aec96f4152?fccid=c49364d648c0e189&vjs=3,"Redmond, WA",The job description: we need to build analytics package to keep track audience targeting in Microsoft Audience Network (MSAN). We will produce a set of drill...,3 days ago,NLB Corp,5 reviews,"$82,000 - $123,000 a year (Indeed est.)"
Software Developer,https://www.indeed.com/rc/clk?jk=0269bc100d22b6e9&fccid=33dd9cc9645ca4e9&vjs=3,"Seattle, WA 98109 (Westlake area)",The KEXP Software Developer works within the Software Development team to develop a superior set of online services to engage KEXP listeners and music fans....,27 days ago,,,"$87,000 - $91,000 a year"
Software Development Engineer I - Machine Learning,https://www.indeed.com/rc/clk?jk=aa258b59f2c8100f&fccid=160efb82f2462f14&vjs=3,"Bellevue, WA 98004 (Downtown area)","Experience in developing cloud software services and an understanding of design for scalability, performance and reliability (K8s, YARN) preferred....",30+ days ago,Expedia,688 reviews,
Staff Software Engineer,https://www.indeed.com/rc/clk?jk=f9e4c0f5d06cfcd5&fccid=a5b4499d9e91a5c6&vjs=3,"Kirkland, WA 98033 (Highlands area)","Design, develop, test, deploy, maintain and improve software. Lead designs of major software components, systems, and features....",5 days ago,Google,"2,881 reviews","$94,000 - $142,000 a year (Indeed est.)"
Software Engineering Specialist,https://www.indeed.com/rc/clk?jk=b7e0bc1b2af7cafd&fccid=c5c99ec01e2125aa&vjs=3,"Seattle, WA 98101 (Downtown area)",Takes the initiative to experiment with new software frameworks. We are taking on the world’s biggest challenges through innovative software solutions....,5 days ago,General Electric,"6,554 reviews","$87,000 - $131,000 a year (Indeed est.)"
"Software Development Engineer, Customer Experience",https://www.indeed.com/rc/clk?jk=c9277e118ec5e756&fccid=fe2d21eef233e94a&vjs=3,"Seattle, WA","3+ years of industry software development experience designing and developing software with least one object-oriented programming language such as Java, C# or C...",2 days ago,"Amazon.com Services, Inc.","32,078 reviews",
Research Intern - Research in Software Engineering,https://www.indeed.com/rc/clk?jk=c3f5de506e71409c&fccid=734cb5a01ee60f80&vjs=3,"Redmond, WA","The Research in Software Engineering Group in Microsoft Research seeks intern candidates in the areas of formal methods, programming languages, compilers...",30+ days ago,Microsoft,"5,563 reviews",
Software Engineer,https://www.indeed.com/rc/clk?jk=780fc4f3b5a9ad9c&fccid=f334737e3fd6818e&vjs=3,"Seattle, WA 98107 (Ballard area)",Tableau Software is an Equal Opportunity Employer. Tableau Software is a company on a mission. What you'll be doing…....,7 days ago,Tableau,51 reviews,"$86,000 - $129,000 a year (Indeed est.)"
Engineer/Industrial Software Developer,https://www.indeed.com/rc/clk?jk=1f5480a18f049623&fccid=3fcd4dd47c9b850d&vjs=3,"Seattle, WA",Developing scanning and control systems software for sawmill and planer mill equipment. You’re able to analyze and troubleshoot complex technical issues that...,12 days ago,Weyerhaeuser,641 reviews,"$68,000 - $102,000 a year (Indeed est.)"
OpticStudio Software Development Engineer,https://www.indeed.com/rc/clk?jk=a713e8a6b6b17ed6&fccid=d762e249ff21438c&vjs=3,"Kirkland, WA",A high commitment to both technical and software quality is mandatory. There is a reason that 50% of all optical engineering jobs require Zemax software...,1 day ago,Zemax,3 reviews,
Software Engineering,https://www.indeed.com/rc/clk?jk=c096a109e920391d&fccid=734cb5a01ee60f80&vjs=3,"Redmond, WA","We are looking for software developer who is passionate about open source workloads, lives and breathes Linux and has either worked in or motivated about...",18 days ago,Microsoft,"5,563 reviews","$96,000 - $144,000 a year (Indeed est.)"
ENTRY LEVEL BUSINESS ANALYST/QUALITY ANALYST,https://www.indeed.com/company/Agile-IT-Tech/jobs/Entry-Level-Business-Analyst-Quality-Analyst-ffad37e95914cdc9?fccid=3d9ddec35720d15c&vjs=3,"Seattle, WA",Experience working in the scrum or agile development environment supporting a software product. Strictly NO Third Parties or C2C....,9 days ago,,,"$60,000 - $70,000 a year"
